,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed
0,0.8455295822445582,0.9730930365885846,0.6291878617786353,0.7434466019417476,0.6002351557907113,0.8762541806020067,0.9764105833598979,0.20436817472698907,Class 0,,0.8333349718810465,0.9773926255132759,0.6126194544649073,0.7342508574653758,0.5877528324181552,0.8656294200848657,0.9780245200092529,0.1710691823899371,Class 0,,0.8534848441480379,0.9825586285818977,0.6151215805471124,0.7376327376327376,0.589648033126294,0.8986175115207373,0.9847856154910097,0.16441821247892074,Class 0,,0.8401232934118529,0.9844526132079261,0.6069273156651798,0.7358956276445698,0.5868953880764904,0.8862745098039215,0.9862948960302458,0.13333333333333333,Class 0,
0,0.851078250050157,0.42482139929575086,0.7328538852832837,0.3067819754210287,0.745575221238938,0.7317584301771766,0.19312320916905446,0.9709302325581395,Class 1,,0.861880629730315,0.4030526006291054,0.7316625530029744,0.2646548733957683,0.765295887662989,0.7293974601459066,0.1599916124973789,0.978788977519942,Class 1,,0.8602514768210207,0.4182385595168809,0.7891337386018237,0.30012610340479196,0.6878612716763006,0.7962586417242782,0.19193548387096773,0.9731610337972167,Class 1,,0.8542359237339933,0.29950078197847646,0.6793492521647861,0.1917989417989418,0.7837837837837838,0.6740209597352455,0.1092690278824416,0.9838969404186796,Class 1,
0,0.7609089676090897,0.09125540550316415,0.8444132608314331,0.08082901554404145,0.2671232876712329,0.8595859585958596,0.047619047619047616,0.9780827529700942,Class 2,,0.7322694106805039,0.08191970870539314,0.8379216505284476,0.08633606849803782,0.290167865707434,0.8527691107644306,0.05071248952221291,0.9779351472232576,Class 2,,0.8029102852325418,0.07993421775718493,0.7849544072948328,0.07213114754098361,0.5,0.7897990726429676,0.038869257950530034,0.989351403678606,Class 2,,0.7752969030434947,0.08714014358075971,0.8918918918918919,0.0593607305936073,0.18571428571428572,0.905105586741513,0.035326086956521736,0.9834446703456288,Class 2,
1,0.8486282906572762,0.975109246569696,0.6388352920540256,0.7516584247979737,0.6106212032137958,0.8795986622073578,0.9774153074027604,0.20931157978511739,Class 0,Promyelocyte,0.8366070205805197,0.9776615878855318,0.6195810391747357,0.7401322900004323,0.5949815805935914,0.8698727015558698,0.9789569990850869,0.17429502621510556,Class 0,Promyelocyte,0.8553796834301743,0.982920753147716,0.6124620060790273,0.7362978283350569,0.589648033126294,0.8663594470046083,0.9800412938747419,0.1594571670907549,Class 0,Promyelocyte,0.8404221531132139,0.9845070026348254,0.636840724219365,0.761461564977594,0.6212035995500562,0.8549019607843137,0.9835262689225289,0.13929712460063898,Class 0,Promyelocyte
1,0.8528822177675646,0.4377582335382229,0.7425013155586739,0.31784386617100374,0.7566371681415929,0.7412840541055439,0.2011764705882353,0.9725068732816796,Class 1,Promyelocyte,0.860979385061426,0.40337791036183185,0.7357129295614202,0.2647887323943662,0.7542627883650953,0.7344636584706836,0.1605808242579543,0.9779636625292318,Class 1,Promyelocyte,0.8603854661535895,0.42233322827514136,0.8035714285714286,0.31158455392809586,0.6763005780346821,0.8125254168361122,0.20242214532871972,0.9727361246348588,Class 1,Promyelocyte,0.8594475335788078,0.307213036950336,0.7234321700341118,0.21107784431137724,0.7621621621621621,0.7214561500275786,0.12250217202432667,0.9834586466165414,Class 1,Promyelocyte
1,0.7754879597548797,0.1064779446367036,0.8461673390633222,0.08550573514077164,0.2808219178082192,0.861026102610261,0.05043050430504305,0.978518821603928,Class 2,Promyelocyte,0.7417961106933486,0.07643639874521822,0.8385545218657047,0.08599068434252956,0.28776978417266186,0.8534841393655747,0.05054759898904802,0.9778803902584345,Class 2,Promyelocyte,0.8047632429394409,0.08867691834686028,0.76709726443769,0.04961240310077519,0.36363636363636365,0.7739567233384853,0.026622296173044926,0.9862136878385032,Class 2,Promyelocyte,0.7797647687784015,0.0766767242277758,0.8798215691419575,0.05371900826446281,0.18571428571428572,0.892809409248864,0.03140096618357488,0.9832204886664704,Class 2,Promyelocyte
2,0.8481213424852716,0.9741415237497132,0.6397123311699702,0.7521718146718147,0.6108171663727219,0.8862876254180602,0.9786499215070643,0.21065182829888712,Class 0,BLAST,0.8360667422430414,0.9777757896363648,0.6166698310233529,0.7377808563141262,0.5922708000278029,0.864922206506365,0.9780762167125804,0.17252080688390464,Class 0,BLAST,0.8598773029548425,0.9835918314244793,0.625,0.7468581687612208,0.6028985507246377,0.8709677419354839,0.9811320754716981,0.16463414634146342,Class 0,BLAST,0.8374379673129094,0.9834786982065145,0.6197848333770664,0.7464566929133858,0.5998312710911136,0.8980392156862745,0.9879573876794813,0.13861985472154964,Class 0,BLAST
2,0.8534132923759602,0.43350496263499677,0.7381161199789511,0.3135632183908046,0.754424778761062,0.7367117546199276,0.1979106210098665,0.9720965309200603,Class 1,BLAST,0.8632299221360378,0.4154787487853729,0.7333713056135688,0.2643617950061114,0.7592778335005015,0.7316265874088085,0.16004228329809725,0.9783217414867672,Class 1,BLAST,0.8639444108818143,0.4211809873908442,0.7853343465045592,0.287515762925599,0.6589595375722543,0.7942252948352989,0.18387096774193548,0.9706759443339961,Class 1,BLAST,0.8542135627077712,0.2794435650663975,0.7011283127787982,0.2018220042046251,0.7783783783783784,0.6971869829012686,0.11594202898550725,0.9840404826780849,Class 1,BLAST
2,0.7693488526934885,0.09539095844206621,0.8479214172952114,0.07667731629392971,0.2465753424657534,0.8637263726372637,0.04539722572509458,0.9775876120619397,Class 2,BLAST,0.7410374352623986,0.07837434858285622,0.8386178089994304,0.0814121037463977,0.2709832134292566,0.8540041601664067,0.047901653242899536,0.9773843178098497,Class 2,BLAST,0.7899922720247295,0.08735285861857528,0.7955927051671733,0.05944055944055944,0.38636363636363635,0.8025502318392581,0.032196969696969696,0.9871673003802282,Class 2,BLAST,0.7626608622599,0.06913128152746988,0.8819207557071634,0.0625,0.21428571428571427,0.8944132584870356,0.036585365853658534,0.9838282857982946,Class 2,BLAST
3,0.8466788176933104,0.9741755186727431,0.6355025434134363,0.7490944216372857,0.6078777189888301,0.8712374581939799,0.9757785467128027,0.20658207771609832,Class 0,Myelocyte,0.8378817943159238,0.9782078270472265,0.6131890386684387,0.7347452478083499,0.5883783971641064,0.8656294200848657,0.9780473714615829,0.1712846347607053,Class 0,Myelocyte,0.8582171718617321,0.9832746924218371,0.6265197568389058,0.7480133299154063,0.6041407867494824,0.8755760368663594,0.9818304172274562,0.16579406631762653,Class 0,Myelocyte,0.8399203775998588,0.9845314918060895,0.6260823930726843,0.7520445449799895,0.6077052868391452,0.8823529411764706,0.9863076220903697,0.1388888888888889,Class 0,Myelocyte
