iter	MultiClass
0	1.075607085
1	1.05620514
2	1.040098241
3	1.023150929
4	1.008849269
5	0.9962093672
6	0.9879074175
7	0.9757233572
8	0.9659941012
9	0.9572827607
10	0.9498321653
11	0.9431913397
12	0.9363751971
13	0.9303993474
14	0.9265627149
15	0.9194663883
16	0.9132953849
17	0.9088518886
18	0.9037684012
19	0.8983540279
20	0.8941852284
21	0.8899069939
22	0.8854969516
23	0.8798320721
24	0.8767291108
25	0.8719779786
26	0.8688355231
27	0.8652299883
28	0.8623714802
29	0.8594522315
30	0.8564782519
31	0.8546164304
32	0.8531626723
33	0.8498403537
34	0.847953456
35	0.8452120665
36	0.8426214865
37	0.8411668553
38	0.8387835242
39	0.8357975657
40	0.8329941776
41	0.8316999955
42	0.8286130897
43	0.825687199
44	0.8225722904
45	0.8201877921
46	0.81791038
47	0.8167262593
48	0.8151445029
49	0.8131496384
50	0.8116107512
51	0.809139831
52	0.8077320311
53	0.8056869417
54	0.8036369448
55	0.8021668794
56	0.8003788497
57	0.7984446045
58	0.7973707993
59	0.7951430646
60	0.7931803396
61	0.7913363738
62	0.7896310262
63	0.7883207033
64	0.7868188755
65	0.7855891762
66	0.7839734003
67	0.782408728
68	0.7802061415
69	0.7784133552
70	0.7768984154
71	0.7759559128
72	0.7753537386
73	0.7740104113
74	0.7724821228
75	0.7713437246
76	0.7709077399
77	0.7702880983
78	0.7687079941
79	0.7677092843
80	0.7659763461
81	0.7643646635
82	0.7631281592
83	0.7617150231
84	0.7597688309
85	0.7576363058
86	0.7554227871
87	0.7540218641
88	0.7529640203
89	0.7509328687
90	0.750299427
91	0.7488765015
92	0.7472828176
93	0.7456139723
94	0.7443742637
95	0.7430898209
96	0.74123466
97	0.739368282
98	0.7377641333
99	0.7370625098
100	0.7360959736
101	0.733923266
102	0.7323725018
103	0.7312380259
104	0.7295241686
105	0.727571678
106	0.7256674981
107	0.7245694268
108	0.7226125898
109	0.7201594293
110	0.7182839906
111	0.7171449432
112	0.7153134192
113	0.7138882689
114	0.7109953855
115	0.7090302852
116	0.7080599463
117	0.7064311302
118	0.7038759105
119	0.7013388516
