iter	Passed	Remaining
0	20	20160
1	38	19187
2	57	18985
3	74	18545
4	93	18677
5	112	18703
6	130	18548
7	149	18543
8	168	18505
9	189	18767
10	209	18850
11	227	18755
12	247	18822
13	266	18766
14	284	18658
15	303	18676
16	323	18706
17	343	18738
18	361	18685
19	380	18660
20	401	18714
21	424	18890
22	450	19145
23	472	19212
24	492	19219
25	516	19336
26	534	19260
27	556	19307
28	577	19336
29	597	19314
30	615	19240
31	634	19197
32	653	19151
33	676	19209
34	696	19209
35	717	19220
36	737	19189
37	756	19147
38	777	19148
39	799	19190
40	822	19227
41	843	19236
42	862	19187
43	882	19179
44	902	19157
45	921	19117
46	941	19099
47	962	19090
48	984	19105
49	1006	19119
50	1027	19118
51	1050	19154
52	1071	19138
53	1091	19128
54	1116	19185
55	1137	19171
56	1158	19163
57	1176	19109
58	1194	19044
59	1214	19022
60	1236	19037
61	1256	19015
62	1273	18946
63	1292	18897
64	1312	18878
65	1332	18856
66	1352	18837
67	1372	18805
68	1392	18789
69	1419	18863
70	1447	18933
71	1471	18961
72	1496	19007
73	1518	18998
74	1538	18971
75	1556	18926
76	1575	18881
77	1593	18837
78	1612	18801
79	1633	18782
80	1652	18753
81	1673	18740
82	1694	18722
83	1715	18705
84	1734	18675
85	1756	18670
86	1775	18637
87	1795	18612
88	1815	18584
89	1835	18563
90	1853	18518
91	1874	18502
92	1894	18472
93	1913	18446
94	1932	18411
95	1949	18358
96	1968	18324
97	1988	18303
98	2005	18255
99	2024	18217
100	2042	18181
101	2061	18145
102	2080	18115
103	2099	18084
104	2117	18052
105	2137	18025
106	2157	18005
107	2175	17968
108	2195	17944
109	2214	17919
110	2234	17898
111	2253	17863
112	2273	17843
113	2293	17826
114	2317	17837
115	2349	17906
116	2382	17977
117	2404	17969
118	2426	17961
119	2450	17973
120	2469	17938
121	2489	17917
122	2508	17886
123	2531	17882
124	2551	17858
125	2571	17838
126	2593	17830
127	2613	17804
128	2632	17772
129	2652	17749
130	2673	17737
131	2694	17718
132	2712	17685
133	2733	17666
134	2753	17639
135	2772	17610
136	2791	17582
137	2809	17549
138	2828	17517
139	2846	17487
140	2865	17455
141	2885	17431
142	2903	17398
143	2923	17379
144	2946	17372
145	2968	17365
146	2989	17345
147	3009	17324
148	3029	17302
149	3052	17297
150	3073	17279
151	3091	17247
152	3109	17214
153	3129	17189
154	3147	17160
155	3168	17141
156	3188	17120
157	3206	17089
158	3227	17070
159	3250	17065
160	3272	17051
161	3297	17059
162	3320	17049
163	3340	17026
164	3363	17022
165	3392	17046
166	3416	17041
167	3440	17037
168	3466	17044
169	3492	17053
170	3516	17047
171	3537	17029
172	3559	17015
173	3579	16992
174	3598	16963
175	3619	16945
176	3639	16921
177	3663	16919
178	3684	16900
179	3706	16884
180	3728	16869
181	3752	16864
182	3771	16836
183	3790	16810
184	3808	16778
185	3828	16754
186	3846	16723
187	3863	16688
188	3882	16660
189	3901	16631
190	3918	16599
191	3937	16571
192	3957	16547
193	3976	16520
194	3994	16490
195	4014	16466
196	4034	16443
197	4052	16416
198	4071	16390
199	4090	16361
200	4110	16339
201	4129	16312
202	4149	16289
203	4169	16268
204	4188	16243
205	4209	16223
206	4228	16200
207	4249	16180
208	4269	16157
209	4288	16131
210	4308	16112
211	4329	16092
212	4348	16068
213	4370	16052
214	4392	16036
215	4410	16010
216	4429	15984
217	4450	15964
218	4469	15937
219	4489	15915
220	4509	15894
221	4533	15886
222	4552	15861
223	4570	15833
224	4589	15808
225	4608	15784
226	4629	15763
227	4652	15753
228	4672	15730
229	4693	15712
230	4713	15689
231	4732	15666
232	4751	15641
233	4771	15619
234	4790	15595
235	4809	15570
236	4829	15547
237	4848	15522
238	4867	15497
239	4885	15470
240	4905	15448
241	4924	15424
242	4943	15401
243	4962	15376
244	4989	15376
245	5007	15347
246	5025	15321
247	5045	15300
248	5064	15276
249	5083	15249
250	5101	15222
251	5119	15195
252	5141	15179
253	5159	15154
254	5178	15128
255	5197	15104
256	5216	15080
257	5235	15058
258	5255	15036
259	5277	15021
260	5298	15000
261	5316	14974
262	5336	14953
263	5356	14932
264	5374	14907
265	5395	14887
266	5413	14863
267	5435	14845
268	5453	14820
269	5472	14796
270	5491	14772
271	5510	14748
272	5529	14724
273	5548	14700
274	5566	14674
275	5585	14652
276	5604	14628
277	5624	14607
278	5643	14582
279	5662	14559
280	5683	14541
281	5701	14517
282	5721	14496
283	5741	14474
284	5764	14461
285	5787	14447
286	5809	14431
287	5844	14448
288	5865	14431
289	5887	14414
290	5907	14394
291	5928	14375
292	5951	14360
293	5971	14340
294	5992	14321
295	6013	14301
296	6032	14279
297	6055	14264
298	6075	14244
299	6094	14221
300	6114	14200
301	6133	14177
302	6151	14149
303	6170	14126
304	6189	14104
305	6207	14078
306	6226	14055
307	6245	14033
308	6266	14013
309	6286	13991
310	6305	13969
311	6327	13953
312	6361	13963
313	6394	13970
314	6417	13956
315	6440	13940
316	6460	13918
317	6479	13896
318	6498	13872
319	6517	13850
320	6539	13831
321	6558	13809
322	6579	13789
323	6598	13766
324	6617	13744
325	6637	13722
326	6656	13698
327	6673	13671
328	6693	13651
329	6715	13633
330	6737	13616
331	6757	13596
332	6776	13573
333	6795	13550
334	6814	13527
335	6834	13505
336	6853	13483
337	6872	13461
338	6892	13440
339	6912	13417
340	6930	13393
341	6953	13378
342	6975	13360
343	6994	13337
344	7012	13314
345	7031	13290
346	7050	13267
347	7068	13242
348	7086	13217
349	7105	13195
350	7125	13174
351	7144	13152
352	7163	13129
353	7182	13107
354	7202	13086
355	7224	13069
356	7242	13045
357	7263	13025
358	7283	13004
359	7301	12979
360	7319	12956
361	7338	12933
362	7358	12912
363	7374	12885
364	7394	12863
365	7413	12841
366	7432	12819
367	7452	12798
368	7473	12780
369	7494	12761
370	7513	12738
371	7532	12715
372	7550	12692
373	7569	12670
374	7589	12648
375	7607	12624
376	7626	12603
377	7649	12587
378	7668	12565
379	7688	12544
380	7708	12523
381	7727	12501
382	7745	12477
383	7765	12457
384	7786	12438
385	7806	12417
386	7826	12396
387	7847	12377
388	7869	12360
389	7888	12338
390	7907	12315
391	7926	12294
392	7947	12274
393	7964	12250
394	7986	12232
395	8006	12211
396	8028	12194
397	8051	12178
398	8072	12158
399	8090	12136
400	8109	12113
401	8128	12091
402	8146	12067
403	8166	12047
404	8187	12028
405	8207	12008
406	8226	11985
407	8245	11964
408	8265	11943
409	8283	11920
410	8303	11900
411	8321	11876
412	8341	11855
413	8360	11833
414	8381	11815
415	8401	11794
416	8418	11769
417	8438	11749
418	8456	11726
419	8477	11706
420	8496	11685
421	8517	11665
422	8534	11641
423	8553	11620
424	8572	11598
425	8591	11576
426	8612	11557
427	8633	11538
428	8653	11518
429	8674	11498
430	8696	11481
431	8723	11470
432	8745	11451
433	8767	11433
434	8790	11417
435	8814	11402
436	8836	11384
437	8857	11365
438	8883	11352
439	8906	11336
440	8927	11315
441	8947	11295
442	8971	11280
443	8994	11263
444	9015	11244
445	9040	11230
446	9063	11212
447	9082	11191
448	9103	11171
449	9121	11148
450	9143	11130
451	9162	11108
452	9179	11084
453	9198	11062
454	9216	11039
455	9235	11018
456	9255	10997
457	9272	10973
458	9290	10950
459	9310	10929
460	9329	10908
461	9349	10886
462	9367	10864
463	9385	10841
464	9404	10819
465	9424	10799
466	9444	10779
467	9463	10757
468	9482	10736
469	9502	10715
470	9519	10692
471	9538	10670
472	9558	10649
473	9575	10625
474	9594	10604
475	9613	10582
476	9633	10562
477	9653	10542
478	9672	10521
479	9692	10499
480	9710	10477
481	9731	10458
482	9751	10438
483	9770	10416
484	9788	10394
485	9809	10374
486	9827	10352
487	9850	10334
488	9871	10315
489	9890	10294
490	9910	10273
491	9932	10255
492	9953	10235
493	9971	10213
494	9989	10191
495	10009	10171
496	10031	10152
497	10051	10132
498	10072	10112
499	10091	10091
500	10111	10071
501	10129	10048
502	10149	10028
503	10168	10007
504	10186	9985
505	10207	9965
506	10229	9946
507	10247	9924
508	10265	9902
509	10288	9884
510	10309	9865
511	10329	9845
512	10352	9827
513	10374	9809
514	10394	9789
515	10414	9768
516	10434	9748
517	10456	9729
518	10473	9706
519	10492	9685
520	10511	9664
521	10531	9643
522	10549	9621
523	10568	9600
524	10585	9577
525	10604	9555
526	10626	9537
527	10647	9518
528	10668	9498
529	10691	9481
530	10712	9461
531	10732	9441
532	10753	9421
533	10773	9401
534	10791	9379
535	10811	9359
536	10830	9338
537	10851	9318
538	10871	9297
539	10889	9276
540	10908	9255
541	10927	9233
542	10946	9212
543	10966	9192
544	10985	9171
545	11004	9150
546	11025	9130
547	11048	9112
548	11068	9093
549	11089	9073
550	11113	9056
551	11133	9035
552	11152	9014
553	11172	8994
554	11192	8973
555	11212	8953
556	11231	8932
557	11252	8913
558	11273	8893
559	11293	8873
560	11312	8852
561	11334	8833
562	11353	8812
563	11371	8791
564	11392	8770
565	11412	8750
566	11430	8729
567	11448	8707
568	11467	8686
569	11485	8664
570	11506	8644
571	11524	8623
572	11543	8602
573	11564	8582
574	11584	8562
575	11605	8542
576	11625	8522
577	11644	8501
578	11667	8483
579	11689	8464
580	11707	8442
581	11727	8423
582	11751	8405
583	11771	8385
584	11791	8364
585	11810	8343
586	11833	8325
587	11852	8304
588	11871	8283
589	11890	8262
590	11909	8241
591	11929	8221
592	11948	8200
593	11967	8179
594	11985	8158
595	12005	8137
596	12026	8118
597	12046	8098
598	12068	8078
599	12086	8057
600	12106	8037
601	12124	8015
602	12143	7994
603	12162	7974
604	12180	7952
605	12200	7932
606	12220	7911
607	12244	7894
608	12264	7874
609	12282	7852
610	12300	7830
611	12321	7811
612	12342	7792
613	12362	7772
614	12382	7751
615	12403	7732
616	12422	7710
617	12442	7691
618	12462	7670
619	12481	7650
620	12500	7629
621	12519	7608
622	12544	7590
623	12562	7569
624	12581	7548
625	12600	7528
626	12623	7509
627	12644	7490
628	12666	7470
629	12687	7451
630	12707	7431
631	12728	7411
632	12747	7390
633	12766	7370
634	12788	7350
635	12808	7330
636	12829	7310
637	12851	7291
638	12873	7272
639	12896	7254
640	12917	7234
641	12938	7215
642	12959	7195
643	12979	7174
644	12998	7154
645	13018	7133
646	13041	7115
647	13062	7095
648	13082	7075
649	13102	7054
650	13121	7034
651	13140	7013
652	13159	6993
653	13178	6972
654	13196	6951
655	13215	6930
656	13234	6909
657	13255	6889
658	13274	6869
659	13294	6848
660	13315	6829
661	13341	6811
662	13359	6790
663	13380	6770
664	13399	6750
665	13418	6729
666	13439	6709
667	13459	6689
668	13480	6669
669	13499	6649
670	13518	6628
671	13537	6607
672	13556	6587
673	13576	6566
674	13596	6546
675	13617	6526
676	13636	6506
677	13658	6486
678	13677	6466
679	13695	6444
680	13715	6424
681	13735	6404
682	13754	6383
683	13773	6363
684	13793	6342
685	13812	6322
686	13834	6302
687	13852	6282
688	13872	6261
689	13891	6241
690	13912	6221
691	13930	6200
692	13950	6180
693	13972	6160
694	13996	6142
695	14017	6122
696	14039	6103
697	14062	6084
698	14082	6064
699	14103	6044
700	14123	6023
701	14145	6004
702	14167	5985
703	14186	5964
704	14206	5944
705	14227	5924
706	14249	5905
707	14270	5885
708	14290	5865
709	14313	5846
710	14332	5825
711	14353	5805
712	14378	5787
713	14399	5767
714	14422	5748
715	14445	5729
716	14465	5709
717	14488	5690
718	14509	5670
719	14529	5650
720	14550	5630
721	14569	5609
722	14591	5590
723	14613	5570
724	14631	5549
725	14651	5529
726	14671	5509
727	14693	5489
728	14714	5470
729	14735	5450
730	14755	5429
731	14775	5409
732	14796	5389
733	14816	5369
734	14835	5349
735	14854	5328
736	14875	5308
737	14894	5287
738	14914	5267
739	14932	5246
740	14951	5226
741	14970	5205
742	14990	5185
743	15008	5164
744	15026	5143
745	15045	5122
746	15065	5102
747	15085	5082
748	15104	5061
749	15124	5041
750	15143	5020
751	15163	5000
752	15182	4980
753	15202	4960
754	15221	4939
755	15239	4918
756	15258	4898
757	15279	4878
758	15297	4857
759	15339	4843
760	15365	4825
761	15383	4804
762	15403	4784
763	15422	4763
764	15440	4743
765	15458	4722
766	15477	4701
767	15497	4681
768	15517	4661
769	15534	4640
770	15554	4619
771	15574	4599
772	15593	4579
773	15613	4558
774	15635	4539
775	15658	4519
776	15678	4499
777	15699	4479
778	15719	4459
779	15739	4439
780	15758	4418
781	15780	4399
782	15799	4378
783	15818	4358
784	15840	4338
785	15863	4318
786	15883	4298
787	15902	4278
788	15922	4258
789	15942	4237
790	15962	4217
791	15981	4197
792	16002	4177
793	16021	4156
794	16040	4136
