,Parameter,Mean_Group_1
0,WBC,9.2 (6.6)
1,ANC,7.0 (5.0)
2,NE,78.4 (12.5)
3,NE_count,7.0 (4.8)
4,MO,7.4 (4.1)
5,MO_count,0.7 (2.3)
6,LY,11.5 (9.9)
7,LY_count,1.0 (1.0)
8,BA,0.4 (0.4)
9,BA_count,0.0 (0.1)
10,EO,0.6 (1.8)
11,EO_count,0.1 (0.2)
12,Band,0.0 (2.4)
13,BLAST,0.0 (0.6)
14,Myelocyte,0.0 (0.3)
15,Metamyelocyte,0.0 (0.3)
16,Promyelocyte,0.0 (0.1)
17,Aty_Lym,0.0 (0.3)
18,HGB,12.8 (2.3)
19,RBC,4.3 (0.8)
20,NRBC,0.1 (0.9)
21,PLT,220.0 (104.1)
22,NLR,6.8 (19.2)
23,PLR,19.3 (63.3)
24,MDW,20.7 (4.6)
25,PDW,nan (nan)
26,RDW,14.1 (2.3)
27,MCV,88.9 (8.3)
28,MCH,30.3 (3.3)
29,MCHC,34.0 (1.4)
30,HCT,37.9 (6.7)
31,MN_AL2_EO,121.0 (11.0)
32,MN_AL2_LY,72.0 (8.7)
33,MN_AL2_MO,129.0 (14.3)
34,MN_AL2_NE,143.0 (12.4)
35,MN_C_EO,148.0 (8.5)
36,MN_C_LY,114.0 (3.6)
37,MN_C_MO,124.0 (4.5)
38,MN_C_NE,146.0 (5.1)
39,MN_LALS_EO,199.0 (24.4)
40,MN_LALS_LY,42.0 (4.3)
41,MN_LALS_MO,93.0 (18.3)
42,MN_LALS_NE,140.0 (23.9)
43,MN_LMALS_EO,184.0 (10.5)
44,MN_LMALS_LY,65.0 (6.8)
45,MN_LMALS_MO,76.0 (7.4)
46,MN_LMALS_NE,120.0 (9.8)
47,MN_MALS_EO,200.0 (11.9)
48,MN_MALS_LY,72.0 (8.1)
49,MN_MALS_MO,90.0 (7.1)
50,MN_MALS_NE,133.0 (8.3)
51,MN_UMALS_EO,211.0 (17.2)
52,MN_UMALS_LY,68.0 (11.0)
53,MN_UMALS_MO,97.0 (8.4)
54,MN_UMALS_NE,140.0 (8.9)
55,MN_V_EO,152.0 (10.0)
56,MN_V_LY,89.0 (5.6)
57,MN_V_MO,169.0 (11.9)
58,MN_V_NE,138.0 (9.2)
59,SD_AL2_EO,12.1 (5.7)
60,SD_AL2_LY,13.4 (2.0)
61,SD_AL2_MO,20.0 (3.8)
62,SD_AL2_NE,17.9 (2.9)
63,SD_C_EO,4.2 (8.0)
64,SD_C_LY,7.4 (4.2)
65,SD_C_MO,5.0 (3.4)
66,SD_C_NE,4.9 (2.5)
67,SD_LALS_EO,40.9 (10.6)
68,SD_LALS_LY,11.7 (4.2)
69,SD_LALS_MO,31.6 (6.0)
70,SD_LALS_NE,45.0 (5.1)
71,SD_LMALS_EO,10.7 (3.8)
72,SD_LMALS_LY,16.5 (2.4)
73,SD_LMALS_MO,14.2 (2.2)
74,SD_LMALS_NE,18.5 (2.3)
75,SD_MALS_EO,8.8 (4.3)
76,SD_MALS_LY,14.6 (2.7)
77,SD_MALS_MO,10.5 (2.0)
78,SD_MALS_NE,13.3 (1.8)
79,SD_UMALS_EO,10.6 (6.6)
80,SD_UMALS_LY,19.5 (3.4)
81,SD_UMALS_MO,11.4 (2.7)
82,SD_UMALS_NE,11.7 (2.1)
83,SD_V_EO,16.9 (5.4)
84,SD_V_LY,14.5 (3.9)
85,SD_V_MO,21.2 (3.9)
86,SD_V_NE,17.2 (3.1)
