,Parameter,Mean_Group_1
0,WBC,9.4 (9.8)
1,ANC,7.3 (5.9)
2,NE,79.4 (14.4)
3,NE_count,7.3 (5.6)
4,MO,7.0 (4.4)
5,MO_count,0.6 (1.8)
6,LY,10.6 (10.9)
7,LY_count,1.0 (2.6)
8,BA,0.4 (0.4)
9,BA_count,0.0 (0.2)
10,EO,0.5 (2.3)
11,EO_count,0.0 (0.3)
12,Band,0.0 (3.3)
13,BLAST,0.0 (2.9)
14,Myelocyte,0.0 (0.8)
15,Metamyelocyte,0.0 (1.0)
16,Promyelocyte,0.0 (0.2)
17,Aty_Lym,0.0 (1.3)
18,HGB,12.3 (2.5)
19,RBC,4.2 (0.9)
20,NRBC,0.0 (4.4)
21,PLT,223.0 (112.1)
22,NLR,7.4 (15.7)
23,PLR,20.3 (47.2)
24,MDW,20.9 (5.1)
25,PDW,16.8 (0.7)
26,RDW,14.3 (2.6)
27,MCV,88.7 (8.4)
28,MCH,30.1 (3.3)
29,MCHC,33.9 (1.1)
30,HCT,36.5 (7.1)
31,MN_AL2_EO,118.0 (9.7)
32,MN_AL2_LY,63.0 (8.3)
33,MN_AL2_MO,115.0 (11.8)
34,MN_AL2_NE,135.0 (9.0)
35,MN_C_EO,147.0 (10.9)
36,MN_C_LY,113.0 (3.6)
37,MN_C_MO,122.0 (4.4)
38,MN_C_NE,144.0 (4.3)
39,MN_LALS_EO,163.0 (23.2)
40,MN_LALS_LY,39.0 (3.8)
41,MN_LALS_MO,80.0 (13.8)
42,MN_LALS_NE,124.0 (23.0)
43,MN_LMALS_EO,185.0 (9.8)
44,MN_LMALS_LY,65.0 (5.7)
45,MN_LMALS_MO,75.0 (5.7)
46,MN_LMALS_NE,119.0 (10.8)
47,MN_MALS_EO,201.0 (10.7)
48,MN_MALS_LY,70.0 (6.8)
49,MN_MALS_MO,89.0 (5.5)
50,MN_MALS_NE,133.0 (7.4)
51,MN_UMALS_EO,213.0 (14.0)
52,MN_UMALS_LY,70.0 (9.8)
53,MN_UMALS_MO,100.0 (6.7)
54,MN_UMALS_NE,143.0 (6.6)
55,MN_V_EO,155.0 (11.5)
56,MN_V_LY,88.0 (5.9)
57,MN_V_MO,174.0 (12.5)
58,MN_V_NE,143.0 (11.1)
59,SD_AL2_EO,10.6 (5.3)
60,SD_AL2_LY,12.1 (1.6)
61,SD_AL2_MO,17.5 (3.5)
62,SD_AL2_NE,15.5 (3.1)
63,SD_C_EO,4.1 (8.9)
64,SD_C_LY,8.1 (3.2)
65,SD_C_MO,5.0 (3.8)
66,SD_C_NE,5.2 (1.4)
67,SD_LALS_EO,38.8 (11.9)
68,SD_LALS_LY,10.0 (2.0)
69,SD_LALS_MO,24.4 (4.6)
70,SD_LALS_NE,38.4 (5.9)
71,SD_LMALS_EO,10.5 (4.3)
72,SD_LMALS_LY,17.2 (2.6)
73,SD_LMALS_MO,13.4 (2.3)
74,SD_LMALS_NE,18.1 (3.1)
75,SD_MALS_EO,8.5 (4.3)
76,SD_MALS_LY,15.2 (3.0)
77,SD_MALS_MO,10.3 (2.1)
78,SD_MALS_NE,12.8 (2.1)
79,SD_UMALS_EO,9.8 (5.7)
80,SD_UMALS_LY,19.2 (3.3)
81,SD_UMALS_MO,10.9 (2.6)
82,SD_UMALS_NE,11.1 (2.0)
83,SD_V_EO,16.8 (6.3)
84,SD_V_LY,14.2 (3.4)
85,SD_V_MO,20.8 (4.4)
86,SD_V_NE,18.1 (3.9)
