bac,count,accuracy,bacteremia_accuracy
Staphylococcus aureus,25,0.32,0.72
Staphylococcus aureus(MRSA),13,0.46153846153846156,0.7692307692307693
Streptococcus agalactiae (Strep.group B),6,0.0,0.8333333333333334
Coagulase negative Staphylococcus spp.(CNS）,4,0.0,0.0
Enterococcus faecalis,4,0.25,0.75
Streptococcus dysgalactiae/canis,3,0.0,0.6666666666666666
Streptococcus bovis II (Strep. group D),3,0.3333333333333333,0.6666666666666666
Streptococcus anginosus,3,1.0,1.0
Eggerthella lenta,2,0.0,1.0
Actinomyces naeslundii,1,0.0,1.0
Staphylococcus epidermidis,1,1.0,1.0
Streptococcus mutans,1,0.0,0.0
Streptococcus dysgalactiae ssp equisimilis,1,0.0,1.0
Streptococcus acidominimus,1,1.0,1.0
Peptostreptococcus prevotii,1,1.0,1.0
Aerococcus viridans,1,0.0,0.0
Peptostreptococcus magnus,1,0.0,0.0
Peptostreptococcus asaccharolyticus,1,0.0,0.0
Gemella haemolysans,1,0.0,1.0
Enterococcus faecium,1,1.0,1.0
Enterococcus casseliflavus,1,0.0,1.0
Clostridium ramosum,1,1.0,1.0
Streptococcus salivarius,1,1.0,1.0
