Class,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,a,b
Class 0,0.845,0.975,0.699,0.802,0.683,0.832,0.972,0.238,1,1
Class 1,0.858,0.397,0.841,0.367,0.595,0.862,0.265,0.962,1,1
Class 2,0.767,0.096,0.799,0.114,0.446,0.809,0.065,0.980,1,1
Class 0,0.840,0.974,0.595,0.712,0.561,0.875,0.974,0.192,1,4
Class 1,0.858,0.405,0.868,0.359,0.477,0.901,0.287,0.954,1,4
Class 2,0.724,0.080,0.650,0.092,0.608,0.651,0.050,0.982,1,4
Class 0,0.843,0.974,0.583,0.701,0.547,0.885,0.976,0.189,1,8
Class 1,0.862,0.402,0.874,0.330,0.403,0.913,0.279,0.948,1,8
Class 2,0.744,0.082,0.620,0.087,0.627,0.620,0.047,0.982,1,8
Class 0,0.832,0.972,0.551,0.671,0.511,0.893,0.976,0.179,1,16
Class 1,0.853,0.408,0.877,0.325,0.382,0.919,0.283,0.947,1,16
Class 2,0.744,0.083,0.582,0.084,0.663,0.579,0.045,0.983,1,16
Class 0,0.826,0.972,0.509,0.628,0.464,0.883,0.971,0.164,1,32
Class 1,0.855,0.390,0.888,0.315,0.333,0.935,0.299,0.944,1,32
Class 2,0.734,0.080,0.524,0.078,0.693,0.519,0.041,0.983,1,32
Class 0,0.847,0.975,0.671,0.779,0.648,0.860,0.975,0.226,2,1
Class 1,0.859,0.419,0.771,0.332,0.738,0.773,0.214,0.972,2,1
Class 2,0.752,0.095,0.849,0.104,0.301,0.865,0.063,0.976,2,1
Class 0,0.838,0.973,0.557,0.676,0.518,0.890,0.975,0.180,2,4
Class 1,0.852,0.397,0.812,0.336,0.613,0.829,0.231,0.962,2,4
Class 2,0.726,0.084,0.679,0.081,0.488,0.685,0.044,0.978,2,4
Class 0,0.841,0.974,0.527,0.646,0.483,0.898,0.975,0.171,2,8
Class 1,0.857,0.387,0.819,0.319,0.550,0.841,0.225,0.957,2,8
Class 2,0.735,0.084,0.633,0.077,0.524,0.636,0.041,0.978,2,8
Class 0,0.835,0.972,0.504,0.622,0.456,0.910,0.977,0.166,2,16
Class 1,0.855,0.401,0.834,0.320,0.507,0.861,0.234,0.954,2,16
Class 2,0.733,0.093,0.593,0.084,0.645,0.591,0.045,0.982,2,16
Class 0,0.832,0.973,0.479,0.594,0.427,0.911,0.976,0.159,2,32
Class 1,0.854,0.396,0.847,0.321,0.468,0.879,0.244,0.952,2,32
Class 2,0.731,0.080,0.548,0.077,0.651,0.545,0.041,0.981,2,32
Class 0,0.842,0.974,0.638,0.751,0.610,0.873,0.976,0.210,4,1
Class 1,0.855,0.392,0.710,0.302,0.810,0.702,0.185,0.978,4,1
Class 2,0.733,0.085,0.880,0.095,0.217,0.899,0.061,0.975,4,1
Class 0,0.841,0.973,0.520,0.638,0.473,0.914,0.979,0.171,4,4
Class 1,0.854,0.395,0.763,0.315,0.704,0.768,0.203,0.969,4,4
Class 2,0.719,0.074,0.696,0.076,0.428,0.704,0.041,0.976,4,4
Class 0,0.840,0.973,0.503,0.620,0.454,0.921,0.980,0.167,4,8
Class 1,0.858,0.396,0.772,0.304,0.643,0.783,0.199,0.963,4,8
Class 2,0.725,0.078,0.662,0.076,0.476,0.668,0.041,0.977,4,8
Class 0,0.837,0.973,0.475,0.589,0.421,0.931,0.981,0.161,4,16
Class 1,0.853,0.378,0.780,0.304,0.620,0.794,0.201,0.961,4,16
Class 2,0.733,0.089,0.623,0.076,0.536,0.626,0.041,0.978,4,16
Class 0,0.831,0.972,0.434,0.542,0.375,0.936,0.980,0.151,4,32
Class 1,0.852,0.390,0.791,0.287,0.545,0.812,0.195,0.955,4,32
Class 2,0.717,0.079,0.563,0.073,0.596,0.562,0.039,0.979,4,32
Class 0,0.838,0.973,0.603,0.719,0.569,0.891,0.978,0.198,8,1
Class 1,0.849,0.384,0.648,0.269,0.839,0.632,0.160,0.979,8,1
Class 2,0.736,0.078,0.903,0.067,0.120,0.926,0.047,0.972,8,1
Class 0,0.838,0.974,0.491,0.607,0.440,0.921,0.979,0.164,8,4
Class 1,0.848,0.378,0.708,0.290,0.771,0.703,0.179,0.973,8,4
Class 2,0.721,0.075,0.726,0.066,0.331,0.738,0.036,0.974,8,4
Class 0,0.837,0.973,0.456,0.568,0.400,0.934,0.981,0.156,8,8
Class 1,0.851,0.384,0.726,0.291,0.726,0.726,0.182,0.969,8,8
Class 2,0.709,0.078,0.671,0.075,0.458,0.677,0.041,0.977,8,8
Class 0,0.834,0.973,0.431,0.538,0.370,0.938,0.980,0.151,8,16
Class 1,0.848,0.368,0.731,0.282,0.681,0.736,0.178,0.965,8,16
Class 2,0.718,0.071,0.632,0.069,0.470,0.637,0.037,0.976,8,16
Class 0,0.834,0.973,0.403,0.504,0.339,0.938,0.979,0.144,8,32
Class 1,0.853,0.380,0.749,0.285,0.647,0.757,0.183,0.962,8,32
Class 2,0.699,0.072,0.586,0.071,0.542,0.587,0.038,0.977,8,32
