,Parameter,Mean_Group_CMUH_train,Mean_Group_CMUH_test,Mean_Group_WK,Mean_Group_AN
0,WBC,9.4 (9.8),9.2 (8.2),9.3 (6.3),9.2 (6.6)
1,ANC,7.3 (5.9),7.1 (5.9),7.1 (5.0),7.0 (5.0)
2,NE,79.4 (14.4),79.3 (13.9),78.6 (12.4),78.4 (12.5)
3,NE_count,7.3 (5.6),7.1 (5.6),7.1 (4.9),7.0 (4.8)
4,MO,7.0 (4.4),7.2 (4.4),7.4 (4.2),7.4 (4.1)
5,MO_count,0.6 (1.8),0.6 (0.8),0.7 (0.7),0.7 (2.3)
6,LY,10.6 (10.9),10.4 (10.5),10.9 (10.1),11.5 (9.9)
7,LY_count,1.0 (2.6),0.9 (2.0),1.0 (3.0),1.0 (1.0)
8,BA,0.4 (0.4),0.4 (0.4),0.4 (0.5),0.4 (0.4)
9,BA_count,0.0 (0.2),0.0 (0.3),0.0 (0.1),0.0 (0.1)
10,EO,0.5 (2.3),0.5 (2.1),0.4 (1.9),0.6 (1.8)
11,EO_count,0.0 (0.3),0.0 (0.4),0.0 (0.2),0.1 (0.2)
12,Band,0.0 (3.3),0.0 (3.2),0.0 (4.3),0.0 (2.4)
13,BLAST,0.0 (2.9),0.0 (2.6),0.0 (0.8),0.0 (0.6)
14,Myelocyte,0.0 (0.8),0.0 (0.7),0.0 (0.3),0.0 (0.3)
15,Metamyelocyte,0.0 (1.0),0.0 (0.9),0.0 (0.5),0.0 (0.3)
16,Promyelocyte,0.0 (0.2),0.0 (0.1),0.0 (0.1),0.0 (0.1)
17,Aty_Lym,0.0 (1.3),0.0 (1.1),0.0 (0.2),0.0 (0.3)
18,HGB,12.3 (2.5),12.4 (2.4),12.8 (2.3),12.8 (2.3)
19,RBC,4.2 (0.9),4.2 (0.9),4.4 (0.8),4.3 (0.8)
20,NRBC,0.0 (4.4),0.0 (1.2),0.0 (0.4),0.1 (0.9)
21,PLT,223.0 (112.1),218.0 (111.2),215.0 (91.3),220.0 (104.1)
22,NLR,7.4 (15.7),7.6 (16.3),7.2 (13.9),6.8 (19.2)
23,PLR,20.3 (47.2),20.2 (50.1),19.6 (41.8),19.3 (63.3)
24,MDW,20.9 (5.1),21.5 (5.0),22.0 (4.2),20.7 (4.6)
25,PDW,16.8 (0.7),16.7 (0.7),16.8 (0.6),nan (nan)
26,RDW,14.3 (2.6),14.2 (2.6),14.0 (2.3),14.1 (2.3)
27,MCV,88.7 (8.4),88.7 (8.3),88.1 (8.5),88.9 (8.3)
28,MCH,30.1 (3.3),30.1 (3.3),29.7 (3.3),30.3 (3.3)
29,MCHC,33.9 (1.1),33.8 (1.0),33.6 (1.0),34.0 (1.4)
30,HCT,36.5 (7.1),36.8 (7.0),38.1 (6.5),37.9 (6.7)
31,MN_AL2_EO,118.0 (9.7),118.0 (9.3),115.0 (10.0),121.0 (11.0)
32,MN_AL2_LY,63.0 (8.3),60.0 (8.0),64.0 (8.3),72.0 (8.7)
33,MN_AL2_MO,115.0 (11.8),111.0 (11.5),115.0 (13.2),129.0 (14.3)
34,MN_AL2_NE,135.0 (9.0),133.0 (8.3),132.0 (10.2),143.0 (12.4)
35,MN_C_EO,147.0 (10.9),146.0 (10.5),149.0 (11.0),148.0 (8.5)
36,MN_C_LY,113.0 (3.6),113.0 (3.3),115.0 (3.6),114.0 (3.6)
37,MN_C_MO,122.0 (4.4),122.0 (4.0),124.0 (4.5),124.0 (4.5)
38,MN_C_NE,144.0 (4.3),142.0 (3.9),145.0 (4.3),146.0 (5.1)
39,MN_LALS_EO,163.0 (23.2),161.0 (23.2),161.0 (25.5),199.0 (24.4)
